City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,barranca,-10.75,-77.7667,72.21,84,100,6.87,PE,1710737232
329,fortaleza,-3.7227,-38.5247,80.22,94,75,3.44,BR,1710737342
330,dombarovskiy,50.7587,59.5386,19.0,81,92,7.0,RU,1710737449
331,haiku-pauwela,20.9219,-156.3051,71.62,84,75,16.11,US,1710737449
332,tateyama,34.9833,139.8667,55.33,39,94,14.56,JP,1710737449
333,floro,61.5996,5.0328,44.56,53,100,17.27,NO,1710737450
334,terrace,54.5163,-128.6035,46.31,81,20,13.8,CA,1710737450
335,zapolyarnyy,69.4154,30.8136,22.28,84,100,21.79,RU,1710737450
336,aden,12.7794,45.0367,79.86,73,26,18.79,YE,1710737450
337,griffith,41.5284,-87.4237,32.34,55,100,11.5,US,1710737307
338,richards bay,-28.783,32.0377,68.86,92,100,4.63,ZA,1710737451
339,sarmasag,47.35,22.8333,37.89,70,68,0.87,RO,1710737451
340,fale old settlement,-9.3852,-171.2468,84.78,75,95,9.44,TK,1710737451
341,tralee,52.2704,-9.7026,43.57,95,56,6.29,IE,1710737451
342,alice springs,-23.7,133.8833,104.22,19,75,14.97,AU,1710737376
343,kapuskasing,49.4169,-82.4331,21.29,73,100,13.8,CA,1710737452
344,zarand,30.8127,56.564,63.14,29,27,2.77,IR,1710737452
345,coquimbo,-29.9533,-71.3436,58.73,100,0,6.91,CL,1710737193
346,nacozari viejo,30.4,-109.65,46.33,39,0,3.67,MX,1710737177
347,spanish springs,39.6491,-119.7074,50.77,44,0,3.44,US,1710737230
348,camayenne,9.535,-13.6878,79.59,77,12,5.55,GN,1710737453
349,kutum,14.2,24.6667,68.81,25,93,19.17,SD,1710737453
350,sault ste. marie,46.5168,-84.3333,28.96,84,100,11.5,CA,1710737448
351,tabou,4.423,-7.3528,80.26,90,22,4.9,CI,1710737454
352,dunedin,-45.8742,170.5036,49.8,94,96,5.01,NZ,1710737175
353,ingeniero jacobacci,-41.3427,-69.5448,42.49,66,0,9.48,AR,1710737454
354,guelendeng,10.9176,15.5501,75.42,21,100,5.99,TD,1710737454
355,pulaski,34.7668,-92.3001,53.71,45,75,10.0,US,1710737455
356,sierra grande,-41.606,-65.3557,55.13,35,0,5.53,AR,1710737356
357,acapulco de juarez,16.8634,-99.8901,75.02,88,40,9.22,MX,1710737402
358,pailon,-17.65,-62.75,76.1,83,100,12.21,BO,1710737455
359,carnarvon,-24.8667,113.6333,82.0,61,52,18.68,AU,1710737456
